timestamp,student_id,alert_type,state,attention_score,liveness_score,face_similarity,ear,mar,yaw,pitch,image_path
2026-06-04 10:13:34,202417140,Frequent Distraction,DISTRACTED,68.21,1.000,0.997,0.2072,0.3357,-18.69,-174.22,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260604_101334.jpg
2026-06-04 10:13:36,202417140,Multiple Faces Detected,DISTRACTED,66.19,1.000,0.998,0.2731,0.4066,17.47,-176.71,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\multiple_faces_detected_20260604_101336.jpg
2026-06-04 10:13:38,202417140,Sustained Distraction,DISTRACTED,61.94,1.000,0.999,0.2719,0.4022,4.76,-175.91,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\sustained_distraction_20260604_101338.jpg
2026-06-04 10:13:38,202417140,Rapid Attention Drop,DISTRACTED,60.87,1.000,0.999,0.2480,0.4721,-12.04,-174.48,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\rapid_attention_drop_20260604_101338.jpg
2026-06-04 10:13:39,202417140,Attention Score Warning,DISTRACTED,59.99,1.000,0.996,0.1850,0.4084,-19.55,-174.39,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\attention_score_warning_20260604_101339.jpg
2026-06-04 10:13:40,202417140,Frequent Distraction,DISTRACTED,58.19,1.000,0.984,0.2297,0.4626,-33.53,-178.63,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260604_101339.jpg
2026-06-04 10:13:44,202417140,Attention Score Warning,OK,56.19,1.000,0.996,0.2503,0.4057,18.64,-176.29,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\attention_score_warning_20260604_101344.jpg
2026-06-04 10:13:45,202417140,Frequent Distraction,DISTRACTED,55.13,1.000,0.998,0.2515,0.3883,12.22,-174.06,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260604_101345.jpg
2026-06-04 10:13:46,202417140,Rapid Attention Drop,DISTRACTED,47.73,1.000,0.948,0.1606,0.4109,-45.35,168.86,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\rapid_attention_drop_20260604_101346.jpg
2026-06-04 10:13:47,202417140,Multiple Faces Detected,OK,47.69,1.000,0.999,0.2595,0.3561,9.95,-176.03,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\multiple_faces_detected_20260604_101347.jpg
